Title ID,Title,Genre,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Actors,IMDb Score,Rotten Tomatoes Score,IMDb Votes,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date,,,,
51,Valley of the Gods,Adventure,English,Movie,7,Poland,> 2 hrs,Lech Majewski,"Josh Hartnett, Bérénice Marlohe, Keir Dullea, John Malkovich",4.5,,494,,2,,3/1/2021,,,,
52,Framing John DeLorean,Documentary,English,Movie,8,Poland,1-2 hour,"Don Argott, Sheena M. Joyce","Morena Baccarin, Alec Baldwin, Dean Winters, Josh Charles",6.5,90,1398,,,"$145,625 ",3/1/2021,,,,
53,Critters Attack!,Comedy,English,Movie,6,"Poland,Czech Republic,Hungary,Slovakia,Romania",1-2 hour,Bobby Miller,"Tashiana Washington, Jaeden Noel, Jack Fulton, Ava Preston",3.7,44,2050,,,,3/1/2021,,,,
54,The Bold Type,Drama,English,Series,4.1,"Lithuania,Poland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,South Africa,Slovakia,Sweden,Thailand,Netherlands,Singapore,Turkey,Israel,Romania,United Kingdom,Malaysia,India,Hong Kong,Japan,South Korea,Russia,Iceland,Switzerland",< 30 minutes,,"Meghann Fahy, Melora Hardin, Katie Stevens, Aisha Dee",8,,9767,2,14,,3/1/2021,,,,
55,Alice,Comedy,"English, Cantonese",Series,3.5,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Germany,Singapore,Turkey,Romania,Israel,United Kingdom,Australia,India,Russia,Iceland,Switzerland",< 30 minutes,Woody Allen,"June Squibb, Mia Farrow, William Hurt, Joe Mantegna",6.6,75,13379,1,7,"$7,331,647 ",3/1/2021,,,,
56,Lobster Cop,Crime,Mandarin,Movie,7.5,South Korea,1-2 hour,Xinyun Li,"Hua Liu, You Zhou, Qianyuan Wang, Shanshan Yuan",5.1,,143,,,"$85,693 ",2/28/2021,,,,
57,Magic hour,Crime,English,Movie,7.7,South Korea,1-2 hour,Cole Mueller,"Kris Lemche, C. Thomas Howell, Trevor Morgan, William Russ",5.5,,90,,,,2/28/2021,,,,
58,Marionette,Mystery,English,Movie,7.4,South Korea,1-2 hour,Elbert van Strien,"Elijah Wolf, Sam Hazeldine, Thekla Reuten, Emun Elliott",5.9,,1059,3,3,,2/28/2021,,,,
59,Miss Baek,Drama,Korean,Movie,7.9,South Korea,1-2 hour,Ji-won Lee,"Hee-joon Lee, Jun Suk-ho, Si-ah Kim, Han Ji-min",6.6,,814,10,16,,2/28/2021,,,,
60,Old Marine Boy,Documentary,Korean,Movie,8.4,South Korea,1-2 hour,Mo-young Jin,"Myoungho Park, Cheolhoon Park, Cheoljoon Park, Soonhee Kim",6.9,,7,,,,2/28/2021,,,,
61,Ordinary People,Drama,English,Movie,4.2,South Korea,1-2 hour,Robert Redford,"Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton",7.7,89,47265,19,14,"$54,766,923 ",2/28/2021,,,,
62,Outdoor Begins,Fantasy,Korean,Movie,7.4,South Korea,1-2 hour,Jinseung Lim,"Yoo-Mi Lee, Young-geun Hong, Deok-jae Jo, Song-Ha Yeon",4.8,,6,,,,2/28/2021,,,,
63,Paths of the Soul,Drama,Tibetan,Movie,8.9,South Korea,1-2 hour,Yang Zhang,"Pei Yang, Tsring Chodron, Tsewang Dolkar, Jiangcuo Seba",7.5,94,738,5,7,"$31,747 ",2/28/2021,,,,
64,Promise at Dawn,Biography,"French, Polish, Spanish, English",Movie,7.4,South Korea,> 2 hrs,Eric Barbier,"Pierre Niney, Jean-Pierre Darroussin, Didier Bourdon, Charlotte Gainsbourg",7.2,,2464,1,7,,2/28/2021,,,,
65,Rebel in the Rye,Biography,English,Movie,3.1,South Korea,1-2 hour,Danny Strong,"Kevin Spacey, Nicholas Hoult, Victor Garber, Hope Davis",6.7,30,8472,,,"$378,294 ",2/28/2021,,,,
66,The Return,Drama,Russian,Movie,4.1,South Korea,1-2 hour,Andrey Zvyagintsev,"Nataliya Vdovina, Konstantin Lavronenko, Ivan Dobronravov, Vladimir Garin",8,,42530,34,19,"$504,256 ",2/28/2021,,,,
67,The Rookies,Crime,English,Movie,7.9,South Korea,1-2 hour,,"Sam Melville, Georg Stanford Brown, Gerald S. O'Loughlin, Kate Jackson",6.7,,834,,,,2/28/2021,,,,
68,Snatch Up,Crime,English,Movie,8,South Korea,1-2 hour,Joon-Hyeong Heo,"Kwang-ryul Jun, Oh Jeong-Se, Kyeong-Yeong Lee, Mu-Yeol Kim",6,,52,,,,2/28/2021,,,,
69,Stray,Crime,English,Movie,7.3,South Korea,1-2 hour,Joe Sill,"Karen Fukuhara, Christine Woods, Ross Partridge, Miyavi",4.8,56,688,,,,2/28/2021,,,,
70,Stand by Me,Adventure,English,Movie,4.1,South Korea,1-2 hour,Rob Reiner,"Jerry O'Connell, Wil Wheaton, River Phoenix, Corey Feldman",8.1,91,364302,5,11,"$52,287,414 ",2/28/2021,,,,
71,Tea Pets,Animation,Chinese,Movie,7.7,South Korea,1-2 hour,Gary Wang,"Guanlin Ji, Jason Kesser",5.6,,199,,1,,2/28/2021,,,,
72,A Tiger In Winter,Drama,Korean,Movie,8.1,South Korea,1-2 hour,Kwang-kuk Lee,"Seung-gil Jeong, Hyun-Jung Go, Ye-eun Kim, Jin-wook Lee",6.3,,69,,1,,2/28/2021,,,,
73,The Three Little Pigs,Animation,English,Movie,7.9,South Korea,1-2 hour,,"Ric Herbert, Joanna Moore, Lee Perry",5.8,,34,,,,2/28/2021,,,,
74,Wonderstruck,Adventure,"English, Spanish",Movie,3.6,South Korea,1-2 hour,Todd Haynes,"James Urbaniak, Julianne Moore, Millicent Simmonds, Cory Michael Smith",6.2,68,9533,1,33,"$1,060,377 ",2/28/2021,,,,
75,Keys To The Heart,Comedy,Korean,Movie,8.4,South Korea,> 2 hrs,Sung-Hyun Choi,"Sung-ryung Kim, Jung-min Park, Lee Byung-Hun, Han Ji-min",7.5,77,825,,1,"$75,134 ",2/28/2021,,,,
76,Intimate Strangers,Drama,French,Movie,6.4,South Korea,1-2 hour,Patrice Leconte,"Fabrice Luchini, Sandrine Bonnaire, Anne Brochet, Michel Duchaussoy",7,86,4813,,3,"$2,110,589 ",2/28/2021,,,,
77,Homme Fatale,Comedy,Korean,Movie,8.4,South Korea,1-2 hour,Da-Jung Nam,"Jisu Choi, Jun-Ho Lee, Jung So-Min, Gwi-hwa Choi",6.9,,86,,,,2/28/2021,,,,
78,Happy Bus Day,Comedy,Korean,Movie,8.4,South Korea,1-2 hour,Seung-Won Lee,Ju-won Lee,6.8,,27,2,2,,2/28/2021,,,,
79,Gonjiam: Haunted Asylum,Horror,Korean,Movie,6.3,South Korea,1-2 hour,Beom-sik Jeong,"Wi Ha-Joon, Seung-Wook Lee, Ye-Won Mun, Yoo Je-Yoon",6.3,91,5195,2,9,"$115,252 ",2/28/2021,,,,
80,The Free State of Jones,Action,English,Movie,8.9,"Argentina,Hungary,Romania,Czech Republic,United States,Canada,Slovakia,Brazil,Netherlands,Italy,Mexico,Colombia",> 2 hrs,Scott Varnado,"Sauvion Morkunas, Daniel Hymanson, Jonna Humphries, Bob DeVito",7.8,,14,,,,3/13/2017,,,,
81,Extreme Job,Crime,"Korean, Mandarin",Movie,5.4,South Korea,1-2 hour,Byeong-heon Lee,"Lee Hanee, Shin Ha-kyun, Joon-seok Heo, Myoung Gong",7.1,82,6757,7,27,"$1,565,885 ",2/28/2021,,,,
82,Default,Drama,"Korean, English",Movie,8.1,South Korea,1-2 hour,Kook-Hee Choi,"Kim Hye-su, Yoo Ah-In, Woo-jin Jo, Joon-ho Huh",6.6,78,1007,3,6,"$203,775 ",2/28/2021,,,,
83,Criticsized,Crime,English,Movie,6.2,South Korea,1-2 hour,Carl T. Evans,"James Kyson, Kerr Smith, Callum Blue, Mike Marino",3.6,17,173,,,,2/28/2021,,,,
84,Communication & Lies,Short Drama,English,Movie,7.4,South Korea,1-2 hour,Christopher Banks,"Alexander Campbell, Rita Lefau Ryan, Rudi Vodanovich, Richard Lambeth",5,,105,,,,2/28/2021,,,,
85,Clover,Crime,English,Movie,7,South Korea,1-2 hour,Jon Abrahams,"Mark Webber, Nicole Elizabeth Berger, Erika Christensen, Jon Abrahams",4.2,,246,,,,2/28/2021,,,,
